,median_rent_pct_income,median_rent_pct_income_moe,zip
307,24.6,5.2,01527
308,24.3,10.2,01529
309,35.8,28.2,01531
310,30.2,13.5,01532
311,19.9,14.4,01534
312,31.0,17.8,01535
313,33.3,5.7,01536
314,19.7,9.7,01537
315,51.0,-333333333.0,01540
316,49.5,33.3,01541
317,22.9,5.7,01542
318,24.7,11.5,01543
319,27.5,3.6,01545
320,34.1,4.8,01550
321,26.9,1.6,01560
322,-666666666.0,-222222222.0,01561
323,30.3,8.5,01562
324,28.5,6.7,01564
325,21.7,10.6,01566
326,30.9,15.9,01568
327,19.1,3.6,01569
328,28.3,3.1,01570
329,29.3,3.1,01571
330,27.4,1.8,01581
331,24.2,5.1,01583
332,27.2,7.2,01585
333,33.2,15.8,01588
334,27.5,26.6,01590
335,31.0,3.0,01602
336,32.2,3.1,01603
337,28.7,1.8,01604
338,34.2,2.6,01605
339,27.9,3.8,01606
340,25.4,9.0,01607
341,34.0,2.8,01608
342,33.8,3.0,01609
343,36.4,3.8,01610
344,26.9,6.5,01611
345,13.7,22.2,01612
346,29.6,5.3,01701
347,32.2,1.9,01702
348,-666666666.0,-222222222.0,01718
349,33.0,11.1,01719
350,29.5,4.6,01720
351,32.3,5.0,01721
352,25.6,4.9,01730
353,41.0,17.6,01731
354,26.1,2.1,01740
355,51.0,-333333333.0,01741
356,31.2,4.9,01742
357,-666666666.0,-222222222.0,01745
358,32.0,23.3,01746
359,29.2,13.9,01747
360,33.4,3.1,01748
361,27.1,2.9,01749
362,34.8,3.6,01752
363,28.7,3.8,01754
364,33.0,13.1,01756
365,32.4,2.3,01757
366,26.5,2.9,01760
367,28.6,11.2,01770
368,24.2,3.5,01772
369,38.7,13.3,01773
370,32.0,10.6,01775
371,27.8,6.7,01776
372,25.0,10.2,01778
373,32.0,1.7,01801
374,30.5,6.6,01803
375,27.5,1.6,01810
376,25.2,6.4,01821
377,30.9,8.1,01824
378,34.8,5.4,01826
379,31.1,4.5,01827
380,36.6,2.8,01830
381,32.3,3.7,01832
382,34.0,15.1,01833
383,29.7,24.0,01834
384,31.9,6.4,01835
385,33.8,3.4,01840
386,38.1,2.4,01841
387,32.2,2.6,01843
388,29.4,2.7,01844
389,31.6,4.3,01845
390,39.8,6.7,01850
391,29.7,3.8,01851
392,30.0,1.7,01852
393,30.4,2.2,01854
394,31.0,5.8,01860
395,29.4,7.3,01862
396,34.9,15.5,01863
397,48.2,14.0,01864
398,24.7,2.2,01867
399,35.8,8.8,01876
400,33.4,3.0,01879
401,27.5,3.0,01880
402,31.3,3.6,01886
403,32.1,3.8,01887
404,25.9,4.3,01890
405,32.8,1.8,01901
406,34.9,3.8,01902
407,35.9,12.5,01904
408,35.6,3.4,01905
409,31.2,3.5,01906
410,32.0,3.3,01907
411,32.1,11.0,01908
412,37.7,2.9,01913
413,31.8,1.6,01915
414,31.7,11.1,01921
415,31.9,18.5,01922
416,29.3,4.2,01923
417,30.5,11.4,01929
418,33.9,5.6,01930
419,-666666666.0,-222222222.0,01937
420,30.8,5.5,01938
421,40.1,8.5,01940
422,25.2,10.2,01944
423,29.6,8.0,01945
424,26.3,16.8,01949
425,28.1,5.4,01950
426,28.8,29.1,01951
427,36.8,3.5,01952
428,35.9,4.4,01960
429,-666666666.0,-222222222.0,01965
430,37.5,9.4,01966
431,31.9,5.6,01969
432,32.3,2.5,01970
433,51.0,-333333333.0,01982
434,28.4,5.2,01983
435,28.9,6.9,01984
436,32.7,10.7,01985
437,41.5,10.3,02019
438,31.5,5.3,02021
439,31.1,7.3,02025
440,33.2,4.8,02026
441,21.8,5.4,02030
442,20.4,6.6,02032
443,31.8,5.1,02035
444,29.4,3.3,02038
445,37.0,11.0,02043
446,33.3,13.6,02045
447,-666666666.0,-222222222.0,02047
448,26.2,2.6,02048
449,38.5,5.1,02050
450,37.4,10.7,02052
451,25.4,4.8,02053
452,41.6,15.8,02054
453,32.6,21.7,02056
454,34.3,29.0,02061
455,32.5,3.5,02062
456,31.1,5.3,02066
457,29.7,8.6,02067
458,-666666666.0,-222222222.0,02071
459,44.6,7.3,02072
460,28.5,1.9,02081
461,41.1,12.5,02090
462,26.4,5.5,02093
463,28.4,2.8,02108
464,28.9,3.5,02109
465,35.8,7.2,02110
466,31.4,2.6,02111
467,26.9,1.9,02113
468,29.7,1.7,02114
469,38.0,4.0,02115
470,30.1,2.0,02116
471,31.9,1.9,02118
472,33.6,1.8,02119
473,30.7,3.9,02120
474,34.9,2.9,02121
475,32.1,2.9,02122
476,31.6,2.5,02124
477,30.8,2.6,02125
478,34.6,5.7,02126
479,24.2,1.2,02127
480,29.4,1.4,02128
481,25.3,2.3,02129
482,28.0,1.8,02130
483,28.6,2.1,02131
484,30.2,3.5,02132
485,-666666666.0,-222222222.0,02133
486,33.3,2.3,02134
487,29.0,1.3,02135
488,34.3,3.1,02136
489,31.2,2.9,02138
490,27.7,1.2,02139
491,26.4,1.5,02140
492,27.2,1.7,02141
493,26.4,5.8,02142
494,25.0,1.6,02143
495,24.5,1.5,02144
496,25.3,1.5,02145
497,30.5,1.8,02148
498,33.4,2.3,02149
