ApprovalID,Address,ProjectID,ApprovalStatus,ProjectTitle,CensusBureauCategory,ApprovalCreation,ApprovalIssuance,AffordableUnits,DaysToIssuance,IsIssued,HasCategory,HasProjectID
2477811,4360 TWAIN AV,675839,Completed,"Digital, Twain Ave. Apartments",Five or More Family Apt,10/9/2020,8/4/2021,12,299,1,1,1
2473309,3919 SANTA CRUZ AV,675842,Completed,NO PLAN. DRYWALL REPAIR/KITCHE,"Add/Alt 1 or 2 Fam, No Chg DU",9/30/2020,10/1/2020,3,1,1,1,1
2482648,4020 44TH ST,676121,Completed,Digital-UnionAffordableHousing,Five or More Family Apt,10/20/2020,9/27/2021,60,342,1,1,1
2484222,3333 04TH AV,676140,Created,Digital- WITHDRAWN,Five or More Family Apt,10/26/2020,,6,,0,1,1
2479879,4350 CLEVELAND AV,676179,Created,Digital- C12 LOFTS,Five or More Family Apt,10/14/2020,,1,,0,1,1
2475550,800 BROADWAY,676300,Issued,Digital-800 Broadway Build Out,Five or More Family Apt,10/5/2020,3/3/2022,33,514,1,1,1
2486137,4520 ALVARADO CANYON RD,677066,Completed,Digitl-Grantville Station Apts,Five or More Family Apt,10/30/2020,8/6/2021,5,280,1,1,1
2529036,6101 Village Wy,677364,Issued,DGTL (PN) Corallina Mixed Use,Five or More Family Apt,3/18/2021,4/14/2022,17,392,1,1,1
2488736,11909 SUNSHINE PEAK CT,678958,Completed,NO PLAN-BATH REMODEL,"Add/Alt 1 or 2 Fam, No Chg DU",11/9/2020,11/9/2020,3,0,1,1,1
2490865,3669 FLORIDA ST,679104,Created,Digital-Florida St.Multi-Units,Five or More Family Condo,11/16/2020,,1,,0,1,1
2490510,12906 CAMINITO DE LAS OLAS,679322,Completed,DUPLEX  NO PLAN PERMIT,"Add/Alt 1 or 2 Fam, No Chg DU",11/13/2020,11/16/2020,3,3,1,1,1
2496652,2601 ULRIC ST,679346,Completed,Digital-- Senior Housing,Five or More Family Apt,12/2/2020,6/2/2022,10,547,1,1,1
2503358,421 25TH ST,679409,Completed,Digital -Sherman Cosmonaut,Five or More Family Apt,12/21/2020,2/1/2022,1,407,1,1,1
2492584,4061 FAIRMOUNT AV,679798,Completed,Digital 4th CornerApt MixedUse,Five or More Family Apt,11/18/2020,2/16/2022,74,455,1,1,1
2494681,5504 CHELSEA AV,680298,Completed,SFR No Plan  Deck,"Add/Alt 1 or 2 Fam, No Chg DU",11/25/2020,11/25/2020,3,0,1,1,1
2502990,891 TURQUOISE ST,680449,Completed,Digital-Turquoise Place MDU,Five or More Family Condo,12/18/2020,10/22/2021,7,308,1,1,1
2496361,6560 MONTEZUMA RD,680626,Completed,SFR No Plan Permit Deck Repair,"Add/Alt 3+, No Chg DU",12/2/2020,12/2/2020,3,0,1,1,1
2501987,2341 ULRIC ST,680889,Completed,Digital -Ulric Apartments,Five or More Family Apt,12/16/2020,9/30/2021,3,288,1,1,1
2505257,3027 KEATS ST,681310,Completed,Digital-Keats Street Apartment,Five or More Family Apt,12/28/2020,4/14/2023,1,837,1,1,1
2502776,3935 NORMAL ST,681456,Completed,DIGITAL-PERMIT NOW Normal St,Five or More Family Apt,12/18/2020,12/20/2021,3,367,1,1,1
2512694,3910 CHAPMAN ST,682131,Completed,Digital-Chapman Place,"Add/Alt 3+ Fam, Increase DU",1/26/2021,12/8/2021,1,316,1,1,1
2513448,3910 CHAPMAN ST,682131,Completed,Digital-Chapman Place,Five or More Family Apt,1/28/2021,12/8/2021,1,314,1,1,1
2513022,817 26TH ST,682569,Created,Dgtl Blue Dogg New Apartments,Three or Four Family Condo,1/27/2021,,2,,0,1,1
2508596,2449 ARDATH RD,683280,Completed,Bathroom  Remodel No Plans,"Add/Alt 1 or 2 Fam, No Chg DU",1/12/2021,1/12/2021,3,0,1,1,1
2518600,5559 LAURETTA ST,683661,Completed,Dgtl Lauretta New Apartments,Five or More Family Apt,2/12/2021,11/9/2022,2,635,1,1,1
2519316,4685 49TH ST,684151,Completed,Digital - 49th St ADUs,Add/Alt Companion Unit/Acc Apt,2/17/2021,6/16/2021,1,119,1,1,1
2519317,4687 49TH ST,684151,Completed,Digital - 49th St ADUs,Add/Alt Companion Unit/Acc Apt,2/17/2021,6/16/2021,1,119,1,1,1
2533745,3672 SIPES LN,684273,Completed,Digital- Guiterrez Res JADU,Add/Alt Companion Unit/Acc Apt,4/2/2021,11/12/2021,1,224,1,1,1
2531355,3919 LOUISIANA ST,685069,Issued,Digital- Louisiana St,Five or More Family Apt,3/25/2021,5/12/2023,2,778,1,1,1
2517232,5235 FIORE TR [Pending],685533,Completed,Condo 77 unit  DRY WALL /PEX,"Add/Alt 3+, No Chg DU",2/9/2021,2/9/2021,3,0,1,1,1
2551251,5585 MILDRED ST,686860,Cancelled,Digital-Const chg to 623604,Five or More Family Apt,5/20/2021,,3,,0,1,1
2529147,3180 IMPERIAL AV,687121,Issued,Digital-Imperial 100% Afford,Five or More Family Apt,3/18/2021,7/10/2023,3,844,1,1,1
2526138,5472 EL CAJON BL,687534,Issued,Digt Permit Now warm shell FHC,Five or More Family Apt,3/9/2021,2/1/2023,26,694,1,1,1
2542441,1105 BROADWAY,687583,Completed,DGTL-11th & Brdwy 2 (Frame/BO),Five or More Family Apt,4/27/2021,9/16/2022,49,507,1,1,1
2536802,5171 MISSION CENTER RD Unit B-3 [Pending],687966,Completed,Digital- Sola Salon Studios TI,Add/Alt Tenant Improvements,4/12/2021,9/22/2021,1,163,1,1,1
2549616,3691 NATIONAL AV,688718,Issued,Digital-National Apts ADU's,Add/Alt Companion Unit/Acc Apt,5/17/2021,11/3/2023,3,900,1,1,1
2544546,901 W WASHINGTON ST,689210,Completed,Digital-- The Sasan Apts,Five or More Family Apt,5/3/2021,3/3/2022,3,304,1,1,1
2559850,1331 COLUMBIA ST,690443,Completed,Dig Lindley Apt Frame Buildout,Five or More Family Apt,6/16/2021,12/12/2022,30,544,1,1,1
2548202,744 ROBINSON AV,690496,Issued,Digi -Robinson MIx/Micro Units,Five or More Family Apt,5/12/2021,11/15/2023,2,917,1,1,1
2554153,4076 IOWA ST,690826,Completed,Digital-- Iowa St Multi Family,Five or More Family Apt,5/28/2021,10/31/2022,1,521,1,1,1
2570778,4986 OCEAN VIEW BL,691064,Issued,Digi.Ocean view Terrace,One Family Detached,7/23/2021,4/21/2023,1,637,1,1,1
2554501,6213 MONTEZUMA RD,691475,Issued,Digital-6213 Montezuma Ave Apt,,6/1/2021,4/25/2022,3,328,1,0,1
2569346,3060 BROADWAY,692037,Created,DIGITAL-30 UNITS,,7/19/2021,,3,,0,0,1
2555109,7251 NAVAL WY,692195,Completed,DGTL-3R- Affordable Apt (PA12),Five or More Family Apt,6/2/2021,1/5/2022,180,217,1,1,1
2555213,4135 PARK BL,692332,Issued,DGT-ParkBlvd.Flats Fdn&Frm Ph1,Five or More Family Apt,6/3/2021,6/17/2022,10,379,1,1,1
2563874,2250 SISAL LN,693790,Issued,DGITAL-Epoca L MDU,Five or More Family Apt,6/30/2021,8/31/2023,59,792,1,1,1
2577222,2440 CACTUS RD Unit Bldg. B,693790,Issued,DGITAL-Epoca L MDU,Five or More Family Apt,8/30/2021,8/31/2023,60,731,1,1,1
2565868,3776 RILEY ST,693992,Created,Digi.Freedom Center Add/Remode,Non Res Conver to 3+ Fam,7/8/2021,,10,,0,1,1
2571641,3831 03RD AV,694250,Created,Digital - 3831 03rd Ave MDU,Five or More Family Apt,7/28/2021,,2,,0,1,1
2575738,14193 OLD EL CAMINO REAL,694403,Completed,DIGITL-Del Mar MDU Bldgs,Three or Four Family Condo,8/18/2021,2/24/2022,3,190,1,1,1
2575940,14161 OLD EL CAMINO REAL,694403,Cancelled,DIGITL-Del Mar MDU Bldgs,Five or More Family Condo,8/19/2021,2/24/2022,5,189,1,1,1
2575944,14129 OLD EL CAMINO REAL,694403,Completed,DIGITL-Del Mar MDU Bldgs,Five or More Family Condo,8/19/2021,2/24/2022,6,189,1,1,1
2577565,14105 OLD EL CAMINO REAL,694403,Completed,DIGITL-Del Mar MDU Bldgs,Five or More Family Condo,8/31/2021,2/24/2022,5,177,1,1,1
2577569,14141 OLD EL CAMINO REAL,694403,Completed,DIGITL-Del Mar MDU Bldgs,Five or More Family Condo,8/31/2021,2/24/2022,1,177,1,1,1
2573624,8201 MERGE AV,694511,Completed,DGT- MERGE 56 Afford. Housing,Five or More Family Apt,8/5/2021,5/13/2022,47,281,1,1,1
2573088,2820 POLK AV,695615,Issued,Digital Leparc Multi-Dwelling,Five or More Family Apt,8/3/2021,5/6/2023,3,641,1,1,1
PMT-3228520,"5411 Lauretta St, San Diego, CA 92110",PRJ-1036736,Cancelled Application Expired,General-Standard-Building Construction:5411/Lauretta,Add/Alt Companion Unit/Acc Apt,6/15/2023,,1,,0,1,1
PMT-3113519,"4200 Tonopah Av, San Diego, CA 92110",PRJ-1037602,Inspection Followup,General-Express-Building Construction:4200/Tonopah,Five or More Family Condo,8/30/2021,3/23/2023,1,570,1,1,1
PMT-3112004,"4070 Georgia St, San Diego, CA",PRJ-1037740,Closed,General-Standard-Building Construction:4070/Georgia,Five or More Family Apt,8/18/2021,1/5/2023,1,505,1,1,1
PMT-3118334,"3411 31st St, San Diego, CA 92104",PRJ-1038987,Closed,General-Standard-Building Construction:3411/31st,Three or Four Family Apt,9/29/2021,11/14/2022,2,411,1,1,1
PMT-3114364,"414 Arbor Dr, San Diego, CA",PRJ-1039103,Inspection Followup,General-Standard-Building Construction:414/Arbor,Add/Alt Companion Unit/Acc Apt,9/2/2021,10/18/2022,2,411,1,1,1
PMT-3114354,"4555 Alabama St, San Diego, CA 92116",PRJ-1039160,Closed,General-Standard-Building Construction:4555/Alabama,Add/Alt Companion Unit/Acc Apt,9/2/2021,6/16/2022,1,287,1,1,1
PMT-3114904,"1120 Nestor Wy, San Diego, CA 92154",PRJ-1039884,Closed,General-Express-Building Construction:1120/Nestor,Five or More Family Apt,9/8/2021,4/26/2022,73,230,1,1,1
PMT-3116040,"3084 Meade Av, San Diego, CA",PRJ-1040142,Closed,General-Standard-Building Construction:3084/Meade,Five or More Family Condo,9/15/2021,3/14/2023,1,545,1,1,1
PMT-3117210,"4965 Millwood Rd, San Diego, CA 92117",PRJ-1040423,Closed,Rapid Review-Standard-Building Construction:4965/Millwood,Add/Alt Companion Unit/Acc Apt,9/22/2021,1/11/2023,1,476,1,1,1
PMT-3117300,"2661 K St, San Diego, CA",PRJ-1040481,,General-Standard-Building Permit:2661/K,Add/Alt Acc Bldgs to 3+ Fam,9/23/2021,,1,,0,1,1
PMT-3119113,"10211 Rancho Carmel Dr, San Diego, CA",PRJ-1040652,Inspection Followup,Actively Managed-Express-Building Construction:10211/Rancho Carmel,,10/4/2021,1/4/2023,10,457,1,0,1
PMT-3118276,"3961 Georgia St, San Diego, CA 92103",PRJ-1040832,Cancelled Application Expired,General-Express-Building Construction:3961/Georgia,Five or More Family Apt,9/29/2021,,2,,0,1,1
PMT-3118742,"2829 Broadway, San Diego, CA 92102",PRJ-1040838,Cancelled Application Expired,General-Express-Building Construction:2829/Broadway,Five or More Family Apt,10/1/2021,,2,,0,1,1
