,B25071_001E,B25071_001EA,B25071_001M,B25071_001MA,GEO_ID,NAME,state,county,tract
548,28.6,,10.5,,1400000US06073017810,,06,073,017810
549,26.3,,4.4,,1400000US06073017811,,06,073,017811
550,36.3,,9.6,,1400000US06073017813,,06,073,017813
551,38.0,,7.6,,1400000US06073017901,,06,073,017901
552,51.0,50.0+,-333333333.0,***,1400000US06073017902,,06,073,017902
553,35.2,,5.8,,1400000US06073018000,,06,073,018000
554,33.0,,9.6,,1400000US06073018101,,06,073,018101
555,45.6,,14.3,,1400000US06073018102,,06,073,018102
556,33.0,,3.4,,1400000US06073018201,,06,073,018201
557,34.6,,7.0,,1400000US06073018202,,06,073,018202
558,33.8,,6.4,,1400000US06073018301,,06,073,018301
559,39.3,,19.7,,1400000US06073018302,,06,073,018302
560,27.9,,4.1,,1400000US06073018400,,06,073,018400
561,38.9,,6.4,,1400000US06073018504,,06,073,018504
562,34.0,,5.5,,1400000US06073018509,,06,073,018509
563,38.8,,9.5,,1400000US06073018510,,06,073,018510
564,35.2,,7.1,,1400000US06073018511,,06,073,018511
565,44.3,,8.3,,1400000US06073018512,,06,073,018512
566,36.6,,8.9,,1400000US06073018515,,06,073,018515
567,34.1,,7.2,,1400000US06073018516,,06,073,018516
568,33.0,,4.7,,1400000US06073018517,,06,073,018517
569,30.8,,2.7,,1400000US06073018518,,06,073,018518
570,31.1,,3.5,,1400000US06073018519,,06,073,018519
571,37.1,,4.4,,1400000US06073018520,,06,073,018520
572,43.4,,16.2,,1400000US06073018521,,06,073,018521
573,38.5,,8.5,,1400000US06073018522,,06,073,018522
574,31.7,,10.3,,1400000US06073018523,,06,073,018523
575,34.0,,9.0,,1400000US06073018524,,06,073,018524
576,33.8,,4.7,,1400000US06073018525,,06,073,018525
577,38.9,,4.2,,1400000US06073018601,,06,073,018601
578,27.1,,4.8,,1400000US06073018608,,06,073,018608
579,32.8,,5.9,,1400000US06073018609,,06,073,018609
580,25.4,,6.3,,1400000US06073018612,,06,073,018612
581,46.5,,15.2,,1400000US06073018613,,06,073,018613
